sample_id,text,language,case_type,domain,notes
MST001,mo need doctor,yoruba,code_switching,appointment,Yoruba-English mixed appointment request
MST002,mo need dokita today,yoruba,code_switching,appointment,Yoruba-English mixed doctor request
MST003,mo fe see doctor,yoruba,code_switching,appointment,Yoruba-English mixed phrase
MST004,mo fe book appointment,yoruba,code_switching,appointment,Yoruba-English booking phrase
MST005,mo want appointment pelu dokita,yoruba,code_switching,appointment,Yoruba with English appointment terms
MST006,mo need hospital now,yoruba,code_switching,emergency,Yoruba-English urgent phrase
MST007,mo have iba,yoruba,code_switching,symptoms,Yoruba fever term mixed with English
MST008,ori mi is paining me,yoruba,code_switching,symptoms,Yoruba-English headache phrase
MST009,inu mi pain since morning,yoruba,code_switching,symptoms,Yoruba-English stomach pain phrase
MST010,mo need eye clinic,yoruba,code_switching,departments,Yoruba-English clinic request
MST011,mo need blood test,yoruba,code_switching,diagnostics,Yoruba-English test request
MST012,mo want scan today,yoruba,code_switching,diagnostics,Yoruba-English scan request
MST013,mo need medicine refill,yoruba,code_switching,medication,Yoruba-English refill request
MST014,mo forgot my medicine,yoruba,code_switching,medication,Yoruba-English medication phrase
MST015,mo need checkup for diabetes,yoruba,code_switching,chronic_care,Yoruba-English diabetes checkup
MST016,mo want check blood pressure,yoruba,code_switching,chronic_care,Yoruba-English blood pressure request
MST017,mo need antenatal care,yoruba,code_switching,maternal_child,Yoruba-English antenatal request
MST018,omo mi has fever,yoruba,code_switching,maternal_child,Yoruba-English child fever phrase
MST019,mo need urgent help,yoruba,code_switching,emergency,Yoruba-English urgent phrase
MST020,mo cannot breathe well,yoruba,code_switching,emergency,Yoruba-English breathing emergency
MST021,mo fe ri dokita,yoruba,no_diacritics,appointment,Yoruba without diacritics
MST022,mo fe se ipade pelu dokita,yoruba,no_diacritics,appointment,Yoruba without diacritics
MST023,mo nilo lati ri dokita loni,yoruba,no_diacritics,appointment,Yoruba without diacritics
MST024,akoko wo ni dokita wa,yoruba,no_diacritics,appointment,Yoruba without diacritics
MST025,mo fe fagile ipade mi,yoruba,no_diacritics,appointment,Yoruba without diacritics
MST026,se mo le yi ipade mi pada si friday,yoruba,no_diacritics,appointment,Yoruba mixed no-diacritic phrase
MST027,eka wo ni n toju oju,yoruba,no_diacritics,departments,Yoruba department phrase
MST028,mo ni iba,yoruba,no_diacritics,symptoms,Yoruba fever phrase
MST029,ori mi n dun gan,yoruba,no_diacritics,symptoms,Yoruba headache phrase
MST030,inu mi n dun lati ana,yoruba,no_diacritics,symptoms,Yoruba stomach pain phrase
MST031,aya mi n dun,yoruba,no_diacritics,symptoms,Yoruba chest pain phrase
MST032,emi mi n mi soro,yoruba,no_diacritics,symptoms,Yoruba breathing difficulty
MST033,mo n yi mi ninu nigbati mo dide,yoruba,no_diacritics,symptoms,Yoruba dizziness phrase
MST034,mo ti n bi lati owuro,yoruba,no_diacritics,symptoms,Yoruba vomiting phrase
MST035,mo ni gbuuru ati ailera,yoruba,no_diacritics,symptoms,Yoruba diarrhea phrase
MST036,iko mi ko lo,yoruba,no_diacritics,symptoms,Yoruba cough phrase
MST037,egbe mi n dun,yoruba,no_diacritics,symptoms,Yoruba back pain phrase
MST038,egungun mi n dun,yoruba,no_diacritics,symptoms,Yoruba bone pain phrase
MST039,apapo mi wu o si n dun,yoruba,no_diacritics,symptoms,Yoruba joint swelling
MST040,mo ni irora nigba ti mo n to ito,yoruba,no_diacritics,urinary,Yoruba urinary symptom
MST041,ina need doctor,hausa,code_switching,appointment,Hausa-English mixed doctor request
MST042,ina need likita today,hausa,code_switching,appointment,Hausa-English mixed phrase
MST043,ina son see doctor,hausa,code_switching,appointment,Hausa-English doctor phrase
MST044,ina son book appointment,hausa,code_switching,appointment,Hausa-English booking phrase
MST045,ina want appointment da likita,hausa,code_switching,appointment,Hausa-English appointment phrase
MST046,ina need hospital now,hausa,code_switching,emergency,Hausa-English urgent phrase
MST047,ina have zazzabi,hausa,code_switching,symptoms,Hausa fever term mixed with English
MST048,kaina is paining me,hausa,code_switching,symptoms,Hausa-English headache phrase
MST049,cikina pain since morning,hausa,code_switching,symptoms,Hausa-English stomach pain phrase
MST050,ina need eye clinic,hausa,code_switching,departments,Hausa-English clinic request
MST051,ina need blood test,hausa,code_switching,diagnostics,Hausa-English test request
MST052,ina want scan today,hausa,code_switching,diagnostics,Hausa-English scan request
MST053,ina need medicine refill,hausa,code_switching,medication,Hausa-English refill request
MST054,na manta medicine dina,hausa,code_switching,medication,Hausa-English medication phrase
MST055,ina need checkup for diabetes,hausa,code_switching,chronic_care,Hausa-English diabetes checkup
MST056,ina want check blood pressure,hausa,code_switching,chronic_care,Hausa-English blood pressure request
MST057,ina need antenatal care,hausa,code_switching,maternal_child,Hausa-English antenatal request
MST058,yaro na has fever,hausa,code_switching,maternal_child,Hausa-English child fever phrase
MST059,ina need urgent help,hausa,code_switching,emergency,Hausa-English urgent phrase
MST060,ba na iya breathe well,hausa,code_switching,emergency,Hausa-English breathing emergency
MST061,ina son ganin likita,hausa,no_diacritics,appointment,Hausa standard phrase
MST062,ina son yin alawari da likita,hausa,no_diacritics,appointment,Hausa appointment phrase
